"","X","name","longitude","latitude","prov","date","key"
"5",5,"Bradypus_variegatus",-85.057284,10.720034,"gbif","2018-01-21",1807292919
"6",6,"Bradypus_variegatus",-83.133705,8.392663,"gbif","2018-03-03",1932283954
"7",7,"Bradypus_variegatus",-66.872605,10.482226,"gbif","2018-03-03",1836569055
"9",9,"Bradypus_variegatus",-75.884626,8.761465,"gbif","2018-04-21",1839229645
"10",10,"Bradypus_variegatus",-73.31032,-4.299442,"gbif","2018-05-02",1891321369
"11",11,"Bradypus_variegatus",-70.837097,-12.24876,"gbif","2018-05-16",1847608015
"12",12,"Bradypus_variegatus",-60.18256,-3.35682,"gbif","2018-05-21",1850949183
"13",13,"Bradypus_variegatus",-83.781185,10.208383,"gbif","2018-06-07",1880502743
"14",14,"Bradypus_variegatus",-34.855325,-7.061347,"gbif","2018-06-13",1914192670
"15",15,"Bradypus_variegatus",-84.622895,9.583442,"gbif","2018-07-26",1883967230
"16",16,"Bradypus_variegatus",-78.729923,1.822315,"gbif","2018-07-03",1880628802
"17",17,"Bradypus_variegatus",-79.510406,-0.37056,"gbif","2018-08-21",1898832531
"18",18,"Bradypus_variegatus",-40.287103,-20.329182,"gbif","2018-08-15",1891342880
"20",20,"Bradypus_variegatus",-73.595443,6.62664,"gbif","2018-08-10",1901034311
"21",21,"Bradypus_variegatus",-77.869205,8.364843,"gbif","2017-01-20",1703140165
"22",22,"Bradypus_variegatus",-78.46744,8.951225,"gbif","2017-01-21",1621778336
"23",23,"Bradypus_variegatus",-75.158736,10.762469,"gbif","2017-01-28",1705719336
"24",24,"Bradypus_variegatus",-84.338423,10.9717,"gbif","2017-02-07",1453412706
"26",26,"Bradypus_variegatus",-76.34625,4.155583,"gbif","2017-06-05",1839302394
"27",27,"Bradypus_variegatus",-84.203322,9.997805,"gbif","2017-06-30",1841315949
"28",28,"Bradypus_variegatus",-75.431069,10.354856,"gbif","2017-06-08",1571111572
"35",35,"Bradypus_variegatus",-72.515478,-3.473687,"gbif","2017-10-13",1836642058
"37",37,"Bradypus_variegatus",-76.166994,-0.031206,"gbif","2017-11-07",1836693011
"38",38,"Bradypus_variegatus",-73.996533,6.948638,"gbif","2017-12-04",1802666454
"39",39,"Bradypus_variegatus",-76.440224,-0.524075,"gbif","2017-12-14",1805899757
"40",40,"Bradypus_variegatus",-63.659882,-17.460794,"gbif","2016-01-22",1249297478
"43",43,"Bradypus_variegatus",-76.181111,9.386944,"gbif","2016-05-26",1891353912
"50",50,"Bradypus_variegatus",-73.0471,4.18351,"gbif","2015-02-25",1846726494
"51",51,"Bradypus_variegatus",-69.192392,-10.705993,"gbif","2015-02-26",1847447713
"53",53,"Bradypus_variegatus",-34.932233,-7.925237,"gbif","2015-08-22",1836693139
"55",55,"Bradypus_variegatus",-43.406298,-23.00829,"gbif","2015-10-28",1291069295
"56",56,"Bradypus_variegatus",-76.867139,-2.530606,"gbif","2015-11-26",1677303184
"59",59,"Bradypus_variegatus",-42.7364,-22.4063,"gbif","2015-12-22",1677324055
"60",60,"Bradypus_variegatus",-83.596245,9.846656,"gbif","2014-01-05",1898845144
"61",61,"Bradypus_variegatus",-76.81268,8.57522,"gbif","2014-05-16",1270713681
"62",62,"Bradypus_variegatus",-77.12513,8.35975,"gbif","2014-05-30",1270713687
"65",65,"Bradypus_variegatus",-83.590018,8.473333,"gbif","2014-07-18",1883554829
"68",68,"Bradypus_variegatus",-76.548636,3.843453,"gbif","2014-09-05",1639428337
"69",69,"Bradypus_variegatus",-69.196111,-12.590833,"gbif","2014-10-10",1913125698
"70",70,"Bradypus_variegatus",-65.330648,-2.549277,"gbif","2014-10-22",1914244072
"72",72,"Bradypus_variegatus",-64.845653,-3.057511,"gbif","2014-11-17",1836694774
"73",73,"Bradypus_variegatus",-76.100253,4.716333,"gbif","2014-11-01",1639428339
"75",75,"Bradypus_variegatus",-84.486626,10.61932,"gbif","2014-12-31",1579870236
"76",76,"Bradypus_variegatus",-70.26168,-3.818924,"gbif","2013-01-15",1933578873
"77",77,"Bradypus_variegatus",-65.310577,-13.72676,"gbif","2013-02-06",1914203429
"79",79,"Bradypus_variegatus",-66.100495,-11.019057,"gbif","2013-03-13",1699375532
"81",81,"Bradypus_variegatus",-85.153122,9.672495,"gbif","2013-07-10",1847565994
"84",84,"Bradypus_variegatus",-83.873967,9.263033,"gbif","2013-11-27",899959963
"86",86,"Bradypus_variegatus",-60.076763,-2.936506,"gbif","2012-02-02",920766901
"87",87,"Bradypus_variegatus",-45.2196,-23.526195,"gbif","2012-03-24",1932323605
"88",88,"Bradypus_variegatus",-74.104156,-5.296433,"gbif","2012-04-01",1584404481
"90",90,"Bradypus_variegatus",-76.392017,8.2551,"gbif","2012-11-17",891110930
"91",91,"Bradypus_variegatus",-85.514146,10.957811,"gbif","2011-02-04",1668832632
"93",93,"Bradypus_variegatus",-84.82551,10.274968,"gbif","2011-05-15",1891313844
"94",94,"Bradypus_variegatus",-78.199742,2.938964,"gbif","2011-06-13",919142565
"95",95,"Bradypus_variegatus",-77.356667,3.906667,"gbif","2011-07-10",919142992
"98",98,"Bradypus_variegatus",-73.721298,-4.576427,"gbif","2010-03-21",1836692985
"100",100,"Bradypus_variegatus",-79.864211,9.393983,"gbif","2010-08-19",1249297183
"105",105,"Bradypus_variegatus",-83.072305,9.965681,"gbif","2007-01-06",1584402466
"106",106,"Bradypus_variegatus",-67.675458,-9.738954,"gbif","2007-07-17",1838049070
"107",107,"Bradypus_variegatus",-60.440919,-3.093658,"gbif","2006-11-19",891718692
"108",108,"Bradypus_variegatus",-83.505875,10.547559,"gbif","2004-03-21",920778733
"109",109,"Bradypus_variegatus",-82.431816,8.779967,"gbif","2004-08-16",920764239
"111",111,"Bradypus_variegatus",-61.737671,-13.62797,"gbif","1999-10-08",920764799
"112",112,"Bradypus_variegatus",-78,8,"gbif","1994-12-17",1019040885
"113",113,"Bradypus_variegatus",-69.083,-13,"gbif","1992-05-01",197018790
"115",115,"Bradypus_variegatus",-69.607,-13.142,"gbif","1992-05-01",197017582
"116",116,"Bradypus_variegatus",-79.85,-0.617,"gbif","1991-01-26",197017536
"119",119,"Bradypus_variegatus",-79.967,-0.033,"gbif","1991-07-20",197017538
"120",120,"Bradypus_variegatus",-79.35,-2.567,"gbif","1991-07-10",197017524
"122",122,"Bradypus_variegatus",-76.4126,8.8917,"gbif","1989-04-01",1806452006
"123",123,"Bradypus_variegatus",-52.67,-3.83,"gbif","1986-09-17",1319452209
"124",124,"Bradypus_variegatus",-63.316667,-17.216667,"gbif","1985-07-30",859432637
"126",126,"Bradypus_variegatus",-73.247,-3.025,"gbif","1982-08-05",45856897
"127",127,"Bradypus_variegatus",-77.751,-4.022,"gbif","1979-08-22",1145729652
"128",128,"Bradypus_variegatus",-78.16123,-4.45563,"gbif","1978-08-06",1145726763
"131",131,"Bradypus_variegatus",-73.61776,8.252517,"gbif","1974-06-09",1020746499
"134",134,"Bradypus_variegatus",-84.3180515345051,12.1715924579926,"gbif","1968-02-27",686443813
"135",135,"Bradypus_variegatus",-72.6,9.15,"gbif","1968-03-29",1322668047
"136",136,"Bradypus_variegatus",-71.216667,-10.133333,"gbif","1968-06-25",1145706042
"140",140,"Bradypus_variegatus",-68.38,10.53,"gbif","1966-03-22",1317212864
"141",141,"Bradypus_variegatus",-77.07849,3.59422,"gbif","1965-07-01",784006601
"143",143,"Bradypus_variegatus",-76.66111,5.69472,"gbif","1965-01-01",784005750
"146",146,"Bradypus_variegatus",-84.3167382730257,9.3543222864282,"gbif","1963-01-08",1065365988
"147",147,"Bradypus_variegatus",-79.467,0.333,"gbif","1963-06-08",919417369
"149",149,"Bradypus_variegatus",-85.8329428553268,13.0175305133532,"gbif","1963-12-16",686433443
"151",151,"Bradypus_variegatus",-55.5,-3.666667,"gbif","1961-01-05",665865453
"152",152,"Bradypus_variegatus",-73.56694,9.13778,"gbif","1961-05-23",1065333400
"156",156,"Bradypus_variegatus",-79.35,9.23,"gbif","1958-02-02",1319404741
"158",158,"Bradypus_variegatus",-77.683333,2.866667,"gbif","1958-05-19",665747524
"159",159,"Bradypus_variegatus",-76.946678,5.047172,"gbif","1958-10-01",665720933
"160",160,"Bradypus_variegatus",-76.7089,7.98178,"gbif","1958-12-01",1315028691
"161",161,"Bradypus_variegatus",-77.349998,-3.7,"gbif","1957-03-27",665885572
"162",162,"Bradypus_variegatus",-79.08,9.48,"gbif","1957-05-09",1318076490
"164",164,"Bradypus_variegatus",-74.216667,-4.833333,"gbif","1956-11-19",665882533
"167",167,"Bradypus_variegatus",-75.083333,9.95,"gbif","1949-01-23",665831277
"168",168,"Bradypus_variegatus",-75.35,9.5,"gbif","1949-06-01",665831279
"170",170,"Bradypus_variegatus",-69.683333,-13.516667,"gbif","1940-02-02",476817718
"171",171,"Bradypus_variegatus",-64.416664,-16,"gbif","1937-02-10",665816781
"174",174,"Bradypus_variegatus",-79.85,8.53333,"gbif","1933-04-01",1065377914
"175",175,"Bradypus_variegatus",-48.89176,-1.540276,"gbif","1932-01-30",476817713
"177",177,"Bradypus_variegatus",-49,-3,"gbif","1932-12-10",1039515241
"178",178,"Bradypus_variegatus",-77.316666,-0.633333,"gbif","1929-02-12",665800413
"179",179,"Bradypus_variegatus",-77.812856,-0.993799,"gbif","1929-07-04",476818320
"180",180,"Bradypus_variegatus",-49.5,-1,"gbif","1923-05-15",665803940
"182",182,"Bradypus_variegatus",-52.59256,-6.14058,"gbif","1906-02-16",865718046
"183",183,"Bradypus_variegatus",-85.10798,15.4389,"gbif","1818-06-20",1145688678
"184",184,"Bradypus_variegatus",-46.7333,-23.45,"literature",NA,NA
"185",185,"Bradypus_variegatus",-44.71667,-23.21667,"literature",NA,NA
"186",186,"Bradypus_variegatus",-46.61667,-20.71667,"literature",NA,NA
"187",187,"Bradypus_variegatus",-40.0667,-19.3333,"literature",NA,NA
"188",188,"Bradypus_variegatus",-63.1667,-17.8,"literature",NA,NA
"191",191,"Bradypus_variegatus",-65.1333,-16.8,"literature",NA,NA
"194",194,"Bradypus_variegatus",-65.3833,-10.3833,"literature",NA,NA
"195",195,"Bradypus_variegatus",-36.36667,-10.1667,"literature",NA,NA
"196",196,"Bradypus_variegatus",-49.5,-10,"literature",NA,NA
"197",197,"Bradypus_variegatus",-36.08333,-9.7667,"literature",NA,NA
"198",198,"Bradypus_variegatus",-74.5333,-8.3833,"literature",NA,NA
"199",199,"Bradypus_variegatus",-75.1,-6.7333,"literature",NA,NA
"200",200,"Bradypus_variegatus",-76.05,-5.8333,"literature",NA,NA
"203",203,"Bradypus_variegatus",-77.1167,-4.65,"literature",NA,NA
"204",204,"Bradypus_variegatus",-69.95,-4.15,"literature",NA,NA
"205",205,"Bradypus_variegatus",-77.1333,-4.03333,"literature",NA,NA
"206",206,"Bradypus_variegatus",-62.0833,-3.8333,"literature",NA,NA
"208",208,"Bradypus_variegatus",-73.25,-3.7667,"literature",NA,NA
"209",209,"Bradypus_variegatus",-79.65,-3.7167,"literature",NA,NA
"210",210,"Bradypus_variegatus",-59.1333,-3.7,"literature",NA,NA
"212",212,"Bradypus_variegatus",-73.05,-3.4667,"literature",NA,NA
"214",214,"Bradypus_variegatus",-72.1333,-3.4333,"literature",NA,NA
"216",216,"Bradypus_variegatus",-58.25,-3.3,"literature",NA,NA
"220",220,"Bradypus_variegatus",-58,-3,"literature",NA,NA
"221",221,"Bradypus_variegatus",-55.1333,-2.8333,"literature",NA,NA
"223",223,"Bradypus_variegatus",-49.6833,-2.6833,"literature",NA,NA
"225",225,"Bradypus_variegatus",-56.7333,-2.6,"literature",NA,NA
"226",226,"Bradypus_variegatus",-50.71667,-2.6,"literature",NA,NA
"229",229,"Bradypus_variegatus",-45.15,-2.4333,"literature",NA,NA
"230",230,"Bradypus_variegatus",-54.7,-2.4333,"literature",NA,NA
"231",231,"Bradypus_variegatus",-60.96667,-2.36667,"literature",NA,NA
"232",232,"Bradypus_variegatus",-74.0833,-2.3667,"literature",NA,NA
"233",233,"Bradypus_variegatus",-49.5,-2.25,"literature",NA,NA
"235",235,"Bradypus_variegatus",-55.51667,-1.9167,"literature",NA,NA
"236",236,"Bradypus_variegatus",-65.3667,-1.8,"literature",NA,NA
"237",237,"Bradypus_variegatus",-52.2,-1.7,"literature",NA,NA
"238",238,"Bradypus_variegatus",-79.75,-1.5333,"literature",NA,NA
"239",239,"Bradypus_variegatus",-77.95,-1.4833,"literature",NA,NA
"240",240,"Bradypus_variegatus",-48.48333,-1.45,"literature",NA,NA
"242",243,"Bradypus_variegatus",-64.8333,-0.5167,"literature",NA,NA
"244",245,"Bradypus_variegatus",-79.15,-0.25,"literature",NA,NA
"245",246,"Bradypus_variegatus",-74.7667,-0.2,"literature",NA,NA
