"","name","longitude","latitude","prov","date","key"
"1","Bradypus variegatus",-54.861259,-2.301532,"gbif","2018-01-31",1831163021
"2","Bradypus variegatus",-84.689293,10.499203,"gbif","2018-01-03",1891333407
"3","Bradypus variegatus",-84.595465,10.794775,"gbif","2018-01-23",1806354031
"4","Bradypus variegatus",-84.565299,9.786304,"gbif","2018-01-05",1807287966
"5","Bradypus variegatus",-85.057284,10.720034,"gbif","2018-01-21",1807292919
"6","Bradypus variegatus",-83.133705,8.392663,"gbif","2018-03-03",1932283954
"7","Bradypus variegatus",-66.872605,10.482226,"gbif","2018-03-03",1836569055
"8","Bradypus variegatus",-83.800941,9.82792,"gbif","2018-03-14",1839204244
"9","Bradypus variegatus",-75.884626,8.761465,"gbif","2018-04-21",1839229645
"10","Bradypus variegatus",-73.31032,-4.299442,"gbif","2018-05-02",1891321369
"11","Bradypus variegatus",-70.837097,-12.24876,"gbif","2018-05-16",1847608015
"12","Bradypus variegatus",-60.18256,-3.35682,"gbif","2018-05-21",1850949183
"13","Bradypus variegatus",-83.781185,10.208383,"gbif","2018-06-07",1880502743
"14","Bradypus variegatus",-34.855325,-7.061347,"gbif","2018-06-13",1914192670
"15","Bradypus variegatus",-84.622895,9.583442,"gbif","2018-07-26",1883967230
"16","Bradypus variegatus",-78.729923,1.822315,"gbif","2018-07-03",1880628802
"17","Bradypus variegatus",-79.510406,-0.37056,"gbif","2018-08-21",1898832531
"18","Bradypus variegatus",-40.287103,-20.329182,"gbif","2018-08-15",1891342880
"19","Bradypus variegatus",-76.737506,8.17079,"gbif","2018-08-05",1891341235
"20","Bradypus variegatus",-73.595443,6.62664,"gbif","2018-08-10",1901034311
"21","Bradypus variegatus",-77.869205,8.364843,"gbif","2017-01-20",1703140165
"22","Bradypus variegatus",-78.46744,8.951225,"gbif","2017-01-21",1621778336
"23","Bradypus variegatus",-75.158736,10.762469,"gbif","2017-01-28",1705719336
"24","Bradypus variegatus",-84.338423,10.9717,"gbif","2017-02-07",1453412706
"25","Bradypus variegatus",-82.654288,9.634255,"gbif","2017-03-29",1455597096
"26","Bradypus variegatus",-76.34625,4.155583,"gbif","2017-06-05",1839302394
"27","Bradypus variegatus",-84.203322,9.997805,"gbif","2017-06-30",1841315949
"28","Bradypus variegatus",-75.431069,10.354856,"gbif","2017-06-08",1571111572
"29","Bradypus variegatus",-79.168143,0.108352,"gbif","2017-07-30",1839266818
"30","Bradypus variegatus",-84.794209,10.913983,"gbif","2017-07-11",1584406607
"31","Bradypus variegatus",-82.823031,9.73716,"gbif","2017-07-31",1699385404
"32","Bradypus variegatus",-75.47943,10.559663,"gbif","2017-07-25",1584425856
"33","Bradypus variegatus",-72.917502,-3.257886,"gbif","2017-07-13",1890098593
"34","Bradypus variegatus",-75.081854,9.160146,"gbif","2017-08-09",1805381336
"35","Bradypus variegatus",-72.515478,-3.473687,"gbif","2017-10-13",1836642058
"36","Bradypus variegatus",-82.157303,9.313396,"gbif","2017-11-18",1703209277
"37","Bradypus variegatus",-76.166994,-0.031206,"gbif","2017-11-07",1836693011
"38","Bradypus variegatus",-73.996533,6.948638,"gbif","2017-12-04",1802666454
"39","Bradypus variegatus",-76.440224,-0.524075,"gbif","2017-12-14",1805899757
"40","Bradypus variegatus",-63.659882,-17.460794,"gbif","2016-01-22",1249297478
"41","Bradypus variegatus",-85.615082,11.22151,"gbif","2016-01-10",1584422272
"42","Bradypus variegatus",-73.424,-4.481056,"gbif","2016-03-22",1836691811
"43","Bradypus variegatus",-76.181111,9.386944,"gbif","2016-05-26",1891353912
"44","Bradypus variegatus",-79.952845,8.713723,"gbif","2016-06-08",1453490023
"45","Bradypus variegatus",-79.715328,9.128487,"gbif","2016-06-05",1453468773
"46","Bradypus variegatus",-72.849832,-3.44345,"gbif","2016-07-07",1836679293
"47","Bradypus variegatus",-84.510027,10.36583,"gbif","2016-12-07",1453269550
"48","Bradypus variegatus",-83.366307,8.33963,"gbif","2015-01-05",1306572497
"49","Bradypus variegatus",-80.121617,8.621926,"gbif","2015-02-15",1453114302
"50","Bradypus variegatus",-73.0471,4.18351,"gbif","2015-02-25",1846726494
"51","Bradypus variegatus",-69.192392,-10.705993,"gbif","2015-02-26",1847447713
"52","Bradypus variegatus",-83.711057,9.158875,"gbif","2015-05-14",1500214320
"53","Bradypus variegatus",-34.932233,-7.925237,"gbif","2015-08-22",1836693139
"54","Bradypus variegatus",-78.21697,8.075843,"gbif","2015-10-06",1227744196
"55","Bradypus variegatus",-43.406298,-23.00829,"gbif","2015-10-28",1291069295
"56","Bradypus variegatus",-76.867139,-2.530606,"gbif","2015-11-26",1677303184
"57","Bradypus variegatus",-43.0006,-22.4942,"gbif","2015-12-17",1677316834
"58","Bradypus variegatus",-54.954642,-2.504264,"gbif","2015-12-24",1932310569
"59","Bradypus variegatus",-42.7364,-22.4063,"gbif","2015-12-22",1677324055
"60","Bradypus variegatus",-83.596245,9.846656,"gbif","2014-01-05",1898845144
"61","Bradypus variegatus",-76.81268,8.57522,"gbif","2014-05-16",1270713681
"62","Bradypus variegatus",-77.12513,8.35975,"gbif","2014-05-30",1270713687
"63","Bradypus variegatus",-83.366479,10.058119,"gbif","2014-05-07",910494515
"64","Bradypus variegatus",-83.974425,10.1599,"gbif","2014-06-28",1584399713
"65","Bradypus variegatus",-83.590018,8.473333,"gbif","2014-07-18",1883554829
"66","Bradypus variegatus",-76.369042,3.960656,"gbif","2014-08-20",1639428338
"67","Bradypus variegatus",-76.200167,3.825078,"gbif","2014-08-01",1639428331
"68","Bradypus variegatus",-76.548636,3.843453,"gbif","2014-09-05",1639428337
"69","Bradypus variegatus",-69.196111,-12.590833,"gbif","2014-10-10",1913125698
"70","Bradypus variegatus",-65.330648,-2.549277,"gbif","2014-10-22",1914244072
"71","Bradypus variegatus",-74.16896,10.46258,"gbif","2014-11-29",1846726199
"72","Bradypus variegatus",-64.845653,-3.057511,"gbif","2014-11-17",1836694774
"73","Bradypus variegatus",-76.100253,4.716333,"gbif","2014-11-01",1639428339
"74","Bradypus variegatus",-59.987812,-3.09744,"gbif","2014-12-18",1841286586
"75","Bradypus variegatus",-84.486626,10.61932,"gbif","2014-12-31",1579870236
"76","Bradypus variegatus",-70.26168,-3.818924,"gbif","2013-01-15",1933578873
"77","Bradypus variegatus",-65.310577,-13.72676,"gbif","2013-02-06",1914203429
"78","Bradypus variegatus",-84.138237,9.402069,"gbif","2013-03-26",899939705
"79","Bradypus variegatus",-66.100495,-11.019057,"gbif","2013-03-13",1699375532
"80","Bradypus variegatus",-68.254486,10.282892,"gbif","2013-04-19",1579869314
"81","Bradypus variegatus",-85.153122,9.672495,"gbif","2013-07-10",1847565994
"82","Bradypus variegatus",-77.122222,7.437778,"gbif","2013-08-01",1671689096
"83","Bradypus variegatus",-40.065264,-19.394665,"gbif","2013-10-04",1836691746
"84","Bradypus variegatus",-83.873967,9.263033,"gbif","2013-11-27",899959963
"85","Bradypus variegatus",-67.86382,-9.954971,"gbif","2013-12-16",1838041389
"86","Bradypus variegatus",-60.076763,-2.936506,"gbif","2012-02-02",920766901
"87","Bradypus variegatus",-45.2196,-23.526195,"gbif","2012-03-24",1932323605
"88","Bradypus variegatus",-74.104156,-5.296433,"gbif","2012-04-01",1584404481
"89","Bradypus variegatus",-83.465881,10.209517,"gbif","2012-08-31",920767620
"90","Bradypus variegatus",-76.392017,8.2551,"gbif","2012-11-17",891110930
"91","Bradypus variegatus",-85.514146,10.957811,"gbif","2011-02-04",1668832632
"92","Bradypus variegatus",-80.141945,-0.087776,"gbif","2011-03-20",1453429695
"93","Bradypus variegatus",-84.82551,10.274968,"gbif","2011-05-15",1891313844
"94","Bradypus variegatus",-78.199742,2.938964,"gbif","2011-06-13",919142565
"95","Bradypus variegatus",-77.356667,3.906667,"gbif","2011-07-10",919142992
"96","Bradypus variegatus",-45.42303,-23.826873,"gbif","2011-08-23",1806331686
"97","Bradypus variegatus",-83.70658,8.687444,"gbif","2010-01-05",1802795741
"98","Bradypus variegatus",-73.721298,-4.576427,"gbif","2010-03-21",1836692985
"99","Bradypus variegatus",-84.005556,10.455556,"gbif","2010-08-09",891715625
"100","Bradypus variegatus",-79.864211,9.393983,"gbif","2010-08-19",1249297183
"101","Bradypus variegatus",-63.170317,-17.744943,"gbif","2010-12-18",899936597
"102","Bradypus variegatus",-78.15,8.25,"gbif","2009-03-18",1807324871
"103","Bradypus variegatus",-84.270714,10.45124,"gbif","2009-04-04",1584438045
"104","Bradypus variegatus",-83.507595,8.675361,"gbif","2008-01-08",1584401725
"105","Bradypus variegatus",-83.072305,9.965681,"gbif","2007-01-06",1584402466
"106","Bradypus variegatus",-67.675458,-9.738954,"gbif","2007-07-17",1838049070
"107","Bradypus variegatus",-60.440919,-3.093658,"gbif","2006-11-19",891718692
"108","Bradypus variegatus",-83.505875,10.547559,"gbif","2004-03-21",920778733
"109","Bradypus variegatus",-82.431816,8.779967,"gbif","2004-08-16",920764239
"110","Bradypus variegatus",-85.061694,10.033703,"gbif","2003-12-26",1913682715
"111","Bradypus variegatus",-61.737671,-13.62797,"gbif","1999-10-08",920764799
"112","Bradypus variegatus",-78,8,"gbif","1994-12-17",1019040885
"113","Bradypus variegatus",-69.083,-13,"gbif","1992-05-01",197018790
"114","Bradypus variegatus",-69.295,-12.838,"gbif","1992-05-01",197018750
"115","Bradypus variegatus",-69.607,-13.142,"gbif","1992-05-01",197017582
"116","Bradypus variegatus",-79.85,-0.617,"gbif","1991-01-26",197017536
