"","species","specimen","landmark1_1","landmark1_2","landmark1_3","landmark3_1","landmark3_2","landmark3_3","landmark5_1","landmark5_2","landmark5_3","landmark7_1","landmark7_2","landmark7_3","landmark9_1","landmark9_2","landmark9_3","landmark11_1","landmark11_2","landmark11_3","landmark13_1","landmark13_2","landmark13_3","landmark15_1","landmark15_2","landmark15_3","landmark17_1","landmark17_2","landmark17_3","landmark19_1","landmark19_2","landmark19_3","landmark21_1","landmark21_2","landmark21_3","landmark23_1","landmark23_2","landmark23_3","landmark25_1","landmark25_2","landmark25_3","landmark27_1","landmark27_2","landmark27_3","landmark29_1","landmark29_2","landmark29_3","landmark31_1","landmark31_2","landmark31_3","landmark33_1","landmark33_2","landmark33_3","landmark35_1","landmark35_2","landmark35_3","landmark37_1","landmark37_2","landmark37_3","landmark39_1","landmark39_2","landmark39_3","landmark41_1","landmark41_2","landmark41_3","landmark43_1","landmark43_2","landmark43_3","landmark45_1","landmark45_2","landmark45_3","landmark47_1","landmark47_2","landmark47_3","landmark49_1","landmark49_2","landmark49_3","landmark51_1","landmark51_2","landmark51_3","landmark53_1","landmark53_2","landmark53_3","landmark55_1","landmark55_2","landmark55_3","landmark57_1","landmark57_2","landmark57_3","landmark59_1","landmark59_2","landmark59_3","landmark61_1","landmark61_2","landmark61_3","landmark63_1","landmark63_2","landmark63_3","landmark65_1","landmark65_2","landmark65_3","landmark67_1","landmark67_2","landmark67_3","landmark69_1","landmark69_2","landmark69_3","landmark71_1","landmark71_2","landmark71_3","landmark73_1","landmark73_2","landmark73_3","landmark75_1","landmark75_2","landmark75_3","landmark77_1","landmark77_2","landmark77_3","landmark79_1","landmark79_2","landmark79_3","landmark81_1","landmark81_2","landmark81_3","genus"
"1","Choloepus_didactylus","BMNH_4_7_4_94",46.7334,16.387,-0.4886,74.0163,18.3344,5.9018,35.7689,17.2421,4.3583,81.4942,27.3561,4.7696,80.7148,38.5118,-0.645,38.6583,30.4417,-2.9891,57.6532,49.8585,5.7442,72.5191,46.006,5.5706,22.1619,0.9814,1.4096,38.3806,11.9728,4.3167,1,1,1,1.1166,2.0504,-11.676,61.2695,0.2927,-0.5538,65.7934,17.9383,6.5746,25.6512,-6.1453,-6.5929,41.6838,13.2524,-1.8506,0.0918,0.0816,-0.611,22.9159,-4.1981,-11.8234,41.9607,-7.2842,-4.9462,60.7147,-1.2704,-3.8002,9.9832,22.6463,-12.5286,20.0859,38.8834,-6.592,37.5384,48.0965,-8.9071,15.3217,24.9671,-3.6748,1,1,1,69.5504,40.6297,5.9421,28.5955,-2.1936,-2.9082,55.6565,22.5791,10.7896,75.8199,28.0335,5.0801,0.0021,-0.5502,-1.3286,39.1703,1.5915,-1.0212,54.2256,-4.6678,-11.3612,64.1412,-2.3269,-2.9911,17.5457,13.9574,-0.247,41.3083,33.4065,-20.0818,54.3024,38.213,-9.2805,56.7972,34.9085,-0.7116,1.73,11.9419,0.6203,11.6247,-6.0486,0.5999,58.8926,35.5685,8.3404,13.5219,-3.9768,3.0394,"Choloepus"
"2","Choloepus_didactylus","BMNH_4_7_4_98",60.5612,18.3584,-1.1261,94.5811,21.2886,6.0885,46.0057,20.8285,5.2533,101.2249,32.6532,2.9289,100.9216,45.6675,-3.9669,52.1003,34.9202,-3.0403,75.8128,58.7392,5.1062,90.2172,54.659,2.1121,29.2454,1.9258,-0.0566,49.396,14.3608,3.5896,1,1,1,3.4501,0.5699,-15.7318,79.699,0.0075,0.4848,85.1314,20.3707,6.5344,31.9101,-7.2536,-8.06,60.5897,18.3204,0.2454,0.1143,-0.0645,-0.0717,29.9823,-5.2275,-14.8743,51.8293,-10.6975,-6.8027,73.9849,-0.9553,-5.8834,16.262,25.7962,-14.7635,25.7602,44.8902,-6.8824,46.1565,55.9837,-6.0062,21.7833,28.92,-4.9023,64.0367,37.0686,11.5546,86.7991,48.0961,4.6494,37.0871,-2.405,-4.6956,69.9851,25.1016,12.2029,94.3934,33.0849,5.2307,0.7943,0.3002,0.9516,50.0346,3.4706,-1.796,69.8327,-4.7296,-13.6587,81.0311,-1.0224,-3.057,25.8546,18.0216,-0.0958,54.5331,40.0003,-22.3194,70.107,42.988,-11.8358,73.9107,44.1107,-0.1198,3.2378,15.4399,-0.5496,14.2734,-7.2447,-1.0755,74.2123,42.3075,12.3912,17.8536,-4.2207,3.5369,"Choloepus"
"3","Choloepus_didactylus","BMNH_10_5_4_42",58.6118,15.1734,-5.6693,88.0367,18.1537,1.6332,44.242,19.4899,1.9855,96.9675,30.9279,2.7632,95.184,42.677,-3.9281,49.2875,32.6454,-6.2937,71.7285,52.8501,3.7306,87.3845,52.1325,1.8096,26.8933,1.4617,-1.6786,47.1817,12.9817,1.0187,1,1,1,-1.2872,0.3416,-17.0265,80.105,-0.0913,-1.2054,79.6478,18.9063,2.9719,31.8503,-10.1434,-10.7452,52.1425,13.1171,-6.9538,0.1055,0.1361,-0.5092,29.3529,-4.8542,-19.6506,53.8267,-11.0734,-11.3146,75.1723,-3.4032,-10.0801,14.9486,25.2499,-17.333,25.8872,45.2381,-10.195,45.7881,57.0275,-11.0477,20.5181,28.4499,-7.3335,57.2999,35.2804,10.2375,82.6613,46.5862,3.3762,34.4837,-3.385,-7.6591,68.2181,20.6487,9.4343,90.3963,30.4915,3.0451,-0.0344,0.2698,-0.9619,47.0524,1.7288,-2.7643,67.948,-4.5826,-14.0379,79.1584,-1.7204,-1.786,23.1159,16.5019,-2.3673,55.0068,41.2482,-23.9832,68.8268,44.2798,-10.6259,71.174,42.2414,0.3861,3.1718,15.2177,-0.941,13.6836,-7.568,-2.3315,71.5733,38.9992,9.4125,16.6949,-4.3187,0.2503,"Choloepus"
"4","Choloepus_didactylus","BMNH_24_2_22_72",61.0263,17.575,-4.1105,93.9704,16.6871,0.5705,48.0688,19.9411,1.9724,103.9965,28.1914,1.8537,101.3587,40.5944,-5.4717,54.9823,32.2822,-3.9901,77.7071,57.0057,1.071,94.4684,52.6903,0.6099,28.6104,0.4967,-2.1452,48.4988,13.2917,0.0617,85.1377,28.0064,5.4111,0.7063,0.4181,-15.0166,76.6579,0.3886,-0.6353,86.7674,19.515,4.6542,31.6181,-7.956,-9.3907,52.1494,14.3811,-3.1121,-0.1981,-0.272,0.2498,27.6949,-6.3145,-15.4095,49.1879,-11.6741,-9.5493,63.7855,-2.3462,-5.6125,15.6999,23.5224,-15.3544,28.1088,42.1596,-8.5728,42.8512,45.7263,-3.331,24.7614,27.9536,-6.1492,65.6659,39.8846,11.618,90.9568,48.3521,4.4122,36.7009,-2.5057,-6.0434,73.8669,18.3823,11.6242,98.1407,29.7407,2.6962,0.0745,-0.2295,1.0785,49.8451,1.0907,-4.9534,71.2065,-5.3149,-15.7283,82.1464,-3.0894,-4.3256,25.5852,18.2254,-3.3546,62.0354,38.3683,-26.607,71.9997,42.1222,-12.8088,76.4901,41.8921,1.042,3.1363,16.1751,-2.7164,14.1765,-7.745,-2.7022,77.63,41.0242,9.6342,18.6231,-6.1462,1.2949,"Choloepus"
"5","Choloepus_didactylus","BMNH_24_6_3_3",48.8315,14.8413,-5.5874,78.9029,17.9049,-0.3409,37.0759,17.7773,4.5781,88.6164,28.0441,-2.3126,85.6214,40.9953,-8.5502,39.9232,30.6586,-6.5577,63.3145,54.1975,1.2599,77.8318,51.4237,-0.5055,19.5929,-2.1213,0.3928,38.0711,10.1001,2.2555,1,1,1,-10.4601,-7.209,-13.1264,65.3826,0.2059,-0.7338,72.8008,18.6945,2.9636,18.4646,-10.7808,-7.157,47.8561,13.6844,-3.282,1,1,1,17.6133,-9.133,-13.9995,37.5974,-15.2396,-7.1133,53.626,-6.2999,-3.4273,4.3404,19.0765,-14.4863,13.4748,38.3157,-11.3768,30.0243,46.0824,-10.931,11.31,21.005,-5.6209,51.1982,35.4299,7.9184,72.5156,44.7153,-1.4836,23.3173,-5.361,-4.5749,58.702,17.14,8.4917,80.0838,29.9478,-1.9899,0.0855,-0.4403,0.3494,50.9641,2.6543,-5.9032,66.7701,-4.925,-17.6831,77.1752,-2.99,-4.3724,25.7356,17.4043,-4.7853,54.7362,37.9434,-29.7178,71.8139,40.6785,-13.3477,74.1159,40.6375,-0.8465,-6.9836,10.1423,2.1512,5.0884,-13.2743,3.5991,64.3217,40.5018,4.527,18.5303,-4.7734,-0.2845,"Choloepus"
"6","Choloepus_didactylus","BMNH_28_7_21_101",61.4822,20.6524,-3.7255,92.6808,24.0857,1.5502,45.0301,21.7407,2.7045,101.6428,32.552,-0.1715,102.2379,45.8223,-5.9872,54.6992,35.8187,-5.0187,77.3576,59.2815,0.5627,92.6361,56.2782,-0.9614,29.6203,2.7109,-0.6206,48.7615,15.1699,0.8445,1,1,1,0.0535,0.3318,-15.9524,78.955,0.1531,0.8556,86.27,24.094,1.2679,30.1375,-9.6431,-8.6251,51.3991,16.9685,-1.0928,0.2151,0.4665,0.0886,28.5567,-7.3377,-14.8785,49.3196,-13.7265,-7.678,72.7687,-3.3926,-5.3778,13.6919,26.9495,-15.8755,22.8545,47.1627,-8.1561,44.1679,58.8819,-4.4386,19.8854,30.7429,-6.5023,60.5872,37.4233,11.2825,89.0011,50.6057,-0.8317,35.5112,-4.2759,-5.2539,69.5982,23.7571,10.9956,95.9644,34.0413,-0.846,0.3328,-0.5297,-0.0262,50.954,2.7861,-2.704,73.592,-3.3231,-15.3638,83.8088,0.1357,-4.267,25.3292,18.3963,-2.1363,60.1953,46.5607,-25.1415,73.3172,45.9287,-11.598,76.3759,47.9304,0.67,0.3963,16.5503,-1.4186,12.4159,-8.8388,-0.4919,75.7256,43.5888,8.0299,19.5622,-4.7206,2.9489,"Choloepus"
"7","Choloepus_didactylus","BMNH_52_1175",64.6346,18.4076,-5.2805,98.9476,19.3515,2.3219,49.8375,21.3628,3.0813,106.6475,32.9033,2.5054,105.848,46.1372,-4.9893,57.1944,36.2388,-5.8915,81.9338,58.7313,3.0014,96.5579,56.3827,2.1446,29.2297,1.1677,-1.7762,51.7089,14.7356,1.9926,1,1,1,-4.4508,-1.3869,-14.492,83.8846,-0.9088,-0.9833,89.0221,22.1257,7.458,31.8447,-9.5046,-11.1265,56.7761,15.9434,-4.5906,-0.5699,0.5978,0.3148,30.9054,-6.0195,-19.3122,56.6355,-12.8103,-11.8146,74.2987,-4.6837,-7.3628,15.8871,28.5247,-17.3485,28.6934,50.8406,-9.3014,47.9386,57.9995,-5.6955,23.6819,31.104,-6.3031,62.1117,40.1556,9.3212,93.1839,48.9812,3.8542,36.6409,-3.8226,-7.3217,73.1648,19.3413,11.4393,100.3819,35.1111,2.7273,-0.5688,0.4321,-0.5435,52.6744,3.6648,-5.3019,72.7035,-3.5203,-18.6094,84.9438,-2.1537,-5.606,24.6975,19.3036,-3.9744,59.9264,46.4218,-28.4046,73.2794,50.5687,-15.0115,76.7956,48.4014,-0.7475,1.8469,17.9172,-1.3554,14.6598,-9.4893,-1.8686,80.3338,43.4498,12.3589,19.8631,-4.841,-0.5675,"Choloepus"
"8","Choloepus_didactylus","BMNH_52_1176",60.0726,16.5671,-7.7638,94.1899,20.2979,-1.193,45.6888,21.5122,3.2307,102,32.1058,-0.0784,99.3298,44.0258,-7.8464,50.9519,37.7678,-8.1812,76.5582,59.516,-0.4314,90.5179,55.5654,0.0599,29.4007,0.6257,0.4753,49.3525,15.8771,1.427,1,1,1,-3.6221,-2.1721,-14.9419,82.8218,-0.1973,0.4403,85.9249,18.1441,4.1919,32.2822,-9.5536,-8.7337,53.0651,15.5744,-3.277,0.6282,-0.2911,-1.0105,32.3276,-9.1775,-19.1591,55.6294,-12.8357,-11.252,76.1153,-3.2112,-9.3177,14.5682,29.12,-19.8456,26.9979,50.7018,-11.489,46.1572,60.3353,-10.0182,21.1975,29.8054,-6.8926,59.3847,37.7651,13.2047,87.2913,48.8637,1.2956,36.2972,-1.5359,-6.6861,68.5571,20.2648,13.6993,93.8967,32.9663,1.2967,0.2475,0.1254,-0.4774,48.3795,4.3426,-7.0794,68.0966,-1.6108,-16.451,78.7635,0.3395,-5.8155,20.0049,20.5455,-4.5141,50.4969,47.2045,-30.4047,66.4723,50.7715,-14.5765,66.7353,52.2378,-0.3786,0.7586,18.9503,0.915,15.4754,-9.0406,-0.1718,75.1955,42.932,11.6265,19.7366,-5.9899,1.4204,"Choloepus"
"9","Choloepus_didactylus","BMNH_80_5_6_51",65.7867,18.6378,-3.0228,101.0411,19.5939,4.0419,46.6677,20.1235,2.9311,109.9274,31.0572,6.3919,108.7812,47.5332,2.3775,58.4924,34.6791,-4.0629,83.6168,59.8191,6.1202,97.5123,58.5935,6.8624,29.2173,-1.1804,-1.3038,51.1734,13.4089,2.845,1,1,1,-0.3735,-1.3903,-16.4159,82.8149,-0.666,-0.3124,91.4724,21.7497,9.1124,33.8773,-10.0877,-8.4883,58.1091,14.8491,-1.1241,0.0465,-0.6313,0.4127,31.0478,-8.9293,-17.3557,50.3126,-14.8276,-11.3765,71.3227,-6.3355,-6.7196,17.0939,25.9685,-17.3983,25.8771,44.1203,-11.4077,46.0757,53.3877,-7.6503,24.2872,29.2923,-6.2133,62.3206,38.6954,13.4954,93.9357,51.6329,6.7889,39.1328,-4.2045,-5.4865,70.2271,19.7683,13.7307,102.6469,34.0371,7.5619,-0.464,1.3187,-0.8118,50.959,1.8422,-6.206,71.1451,-4.9566,-18.8683,82.1935,-2.9401,-5.0956,24.9973,18.4468,-5.3324,61.6296,43.5776,-27.8393,75.4979,47.5405,-12.931,76.4596,44.1696,0.4617,3.1199,17.6144,-0.5874,15.9473,-10.329,-1.0125,82.5608,42.9447,16.5274,18.8439,-4.8472,-1.6829,"Choloepus"
"10","Choloepus_didactylus","BMNH_80_5_6_52",61.0592,18.1027,-5.7342,92.5473,17.9839,-0.6261,46.4082,20.3688,1.9169,100.1158,31.208,-1.4749,96.7947,44.5005,-8.7628,55.8768,32.5494,-6.4117,77.4813,54.3545,-0.6093,90.6697,55.5453,0.6352,26.6991,-1.0633,0.3055,49.4222,13.5052,2.5645,1,1,1,1.3394,0.4843,-16.788,76.6681,-1.4876,-0.0802,82.0189,22.4037,1.9982,29.9219,-10.1679,-9.7169,59.5297,16.8364,-2.8467,0.3347,-0.3978,-0.5419,30.4281,-7.7907,-15.7493,50.6532,-13.4466,-8.1666,67.5223,-7.4773,-7.4652,17.5554,26.3498,-16.7967,24.8641,44.9762,-8.9628,41.1687,54.6442,-6.5579,21.8004,28.7984,-4.4038,62.0962,39.0146,11.1431,86.4614,48.6747,-0.7199,34.5215,-3.7555,-4.2559,71.0715,21.4775,9.5932,93.6651,33.8247,-0.7178,-0.1531,0.8854,-0.7086,55.017,3.3225,-4.6455,72.0966,-4.9253,-17.5095,84.2984,-2.4264,-4.7201,28.851,18.1607,-2.2383,60.2682,44.0641,-25.1301,75.6883,46.948,-12.2678,79.57,47.2103,-0.2977,1.617,17.1408,0.2874,12.538,-9.255,-0.2804,73.6372,41.7636,6.5462,21.2101,-4.7693,1.4355,"Choloepus"
